SpCond,,
start,end,gap
2014-01-24 13:15,2014-02-26 13:30,-20.00
2014-10-14 12:00,2014-10-31 11:15,5.40
2014-10-31 12:00,2014-11-13 11:30,-6.50
2014-11-13 12:30,2014-12-04 11:45,5.10
2015-01-01 00:15,2015-01-06 13:15,14.00
2015-02-05 13:30,2015-02-19 12:45,2.00
2015-03-05 12:30,2015-03-19 11:15,3.00
2015-03-19 11:30,2015-04-02 12:30,2.29
2015-04-16 09:00,2015-05-12 15:30,19.53
2015-05-28 13:30,2015-06-10 14:30,-5.41
2015-06-10 14:30,2015-06-23 10:30,-4.40
2015-06-23 10:30,2015-07-07 10:15,11.55
2015-07-07 10:15,2015-07-21 10:30,3.58
2015-07-21 10:30,2015-08-04 10:30,-7.00
2015-09-05 12:45,2015-09-19 11:30,7.90
2015-09-19 11:30,2015-10-01 11:15,-8.30
2015-10-01 11:15,2015-10-17 11:15,17.43
2015-10-17 11:15,2015-10-31 13:15,7.21
2015-10-31 13:15,2015-11-14 14:00,-15.50
2015-11-14 14:00,2015-12-17 13:45,6.71
2016-01-01 00:00,2016-01-09 11:15,-11.56
2016-02-06 12:00,2016-02-20 12:15,24.72
2016-02-20 12:15,2016-03-05 11:30,-25.15
2016-03-05 11:30,2016-04-02 08:15,17.53
2016-04-02 08:15,2016-04-16 08:00,1.20
2016-04-02 08:15,2016-04-30 08:00,11.10
2016-04-30 08:00,2016-05-26 11:45,1.28
2016-05-26 11:45,2016-06-23 12:30,-20.13
2016-07-20 13:00,2016-08-24 14:15,9.64
2016-08-24 14:15,2016-09-24 13:30,3.24
2016-10-13 13:00,2016-11-05 11:15,8.24
2016-11-05 11:15,2016-12-03 11:15,12.41
2016-12-03 11:30,2017-01-15 14:00,-25.25
2016-12-15 14:00,2017-02-11 13:30,-1.86
2017-02-11 13:30,2017-02-25 12:45,3.70
2017-02-11 10:45,2017-03-18 12:15,7.25
2017-03-18 12:30,2017-04-22 14:45,5.80
2017-04-22 15:00,2017-06-28 15:45,-4.90
2017-06-28 16:00,2017-08-10 12:45,1.67
2017-08-10 12:00,2017-11-14 16:45,-5.30
2018-10-08 16:30,2018-12-12 16:15,-12.00
2018-12-12 16:15,2019-04-25 15:15,3.60
2019-04-25 15:15,2019-05-30 14:15,5.00
2019-05-30 14:15,2019-06-28 17:00,1.80
2019-09-23 13:45,2019-10-24 12:45,-5.00